id,age,income,self_learning_hours,highest_degree,favourite_domain
21635,23,36,3.95,High School,Business Analytics
21636,61,57,0.64,PhD,Cybersecurity
21637,28,82,0.59,High School,Business Analytics
21638,24,86,0.66,PhD,Cybersecurity
21639,46,50,1.5,Bachelor,Business Analytics
21640,30,65,2.62,Master,Cybersecurity
21641,56,98,2.83,PhD,Software Engineering
21642,37,55,2.13,Bachelor,Business Analytics
21643,24,75,3.1,Master,Software Engineering
21644,25,93,1.02,PhD,Business Analytics
21645,68,45,2.43,Bachelor,Business Analytics
21646,44,80,0.85,Bachelor,AI
21647,67,36,3.57,Master,Data Science
21648,47,98,0.62,Master,Business Analytics
21649,60,37,3.13,High School,AI
21650,69,39,2.94,Master,Cybersecurity
21651,25,77,1.94,High School,Data Science
21652,69,76,2.98,High School,Software Engineering
21653,55,10,0.39,High School,Business Analytics
21654,23,37,0.14,Bachelor,Business Analytics
21655,35,75,3.69,Bachelor,AI
21656,51,13,0.02,PhD,AI
21657,69,51,2.74,PhD,Software Engineering
21658,49,66,1.0,Bachelor,Business Analytics
21659,66,88,3.64,PhD,AI
21660,35,10,2.37,PhD,AI
21661,55,72,1.15,Bachelor,Software Engineering
21662,19,30,0.64,Master,Data Science
21663,36,9,2.17,High School,Software Engineering
21664,49,26,2.84,PhD,Cybersecurity
21665,65,36,0.4,High School,Data Science
21666,22,36,1.63,PhD,Data Science
21667,24,93,2.95,High School,Cybersecurity
21668,48,81,3.06,Bachelor,Software Engineering
21669,53,37,3.8,Master,Cybersecurity
21670,32,89,0.28,Master,Cybersecurity
21671,42,19,3.69,Master,AI
21672,42,92,3.59,Bachelor,Business Analytics
21673,60,31,1.79,Master,Data Science
21674,21,39,1.94,PhD,Cybersecurity
21675,55,36,3.53,High School,Business Analytics
21676,70,21,2.17,Master,AI
21677,51,86,2.23,Master,Cybersecurity
21678,55,46,2.19,Master,Cybersecurity
21679,25,31,3.67,PhD,Business Analytics
21680,44,37,3.26,Bachelor,Cybersecurity
21681,53,19,0.59,High School,AI
21682,48,32,2.68,High School,Data Science
21683,28,92,2.99,High School,Data Science
21684,44,28,1.99,Bachelor,AI
21685,68,21,0.91,Master,Software Engineering
21686,57,92,3.28,Bachelor,Cybersecurity
21687,34,66,1.54,PhD,Data Science
21688,70,11,3.84,High School,AI
21689,68,72,1.35,PhD,Cybersecurity
21690,30,8,2.48,Master,Business Analytics
21691,64,68,1.8,High School,Data Science
21692,31,85,3.72,PhD,Business Analytics
21693,65,17,3.69,High School,Data Science
21694,56,90,0.34,Bachelor,AI
21695,36,53,1.23,Master,Cybersecurity
21696,26,65,1.05,Bachelor,Business Analytics
21697,49,43,1.67,PhD,Business Analytics
21698,54,34,1.22,PhD,Data Science
21699,56,12,3.19,PhD,Data Science
21700,28,5,1.81,Bachelor,Data Science
21701,53,88,3.89,Bachelor,AI
21702,60,13,0.95,Bachelor,Software Engineering
21703,58,76,0.37,Bachelor,AI
21704,59,18,1.72,PhD,Cybersecurity
21705,27,54,1.36,PhD,Data Science
21706,69,98,0.11,PhD,Business Analytics
21707,37,5,2.92,PhD,Software Engineering
21708,28,50,2.71,Bachelor,Software Engineering
21709,59,13,0.5,High School,Cybersecurity
21710,29,53,3.08,Master,Software Engineering
21711,49,28,1.29,PhD,AI
21712,67,92,2.38,PhD,Data Science
21713,47,67,3.79,PhD,Data Science
21714,31,49,1.11,Master,Cybersecurity
21715,56,82,2.69,High School,Data Science
21716,49,13,3.54,High School,Business Analytics
21717,49,71,3.7,PhD,Cybersecurity
21718,20,82,1.93,Bachelor,Software Engineering
21719,57,97,0.6,PhD,Software Engineering
21720,26,31,1.4,Master,Software Engineering
21721,65,34,2.99,Master,Data Science
21722,36,93,0.98,Master,AI
21723,51,93,1.59,Bachelor,Business Analytics
21724,30,17,1.74,Bachelor,Cybersecurity
21725,53,72,3.82,Bachelor,Cybersecurity
21726,67,5,3.93,PhD,Data Science
21727,20,98,0.65,Bachelor,Cybersecurity
21728,21,69,0.16,PhD,AI
21729,53,33,3.26,High School,Cybersecurity
21730,35,86,2.71,PhD,Data Science
21731,36,72,3.46,High School,Cybersecurity
21732,65,95,2.24,Bachelor,Data Science
21733,50,96,1.17,PhD,Software Engineering
21734,65,52,2.88,Master,AI
21735,25,76,3.88,Master,Cybersecurity
21736,40,66,1.71,High School,Business Analytics
21737,28,71,3.27,Bachelor,Data Science
21738,45,77,0.2,High School,Cybersecurity
21739,56,49,1.3,Master,Cybersecurity
21740,65,30,3.27,Master,Software Engineering
21741,38,28,1.68,Master,Business Analytics
21742,53,100,0.75,High School,AI
21743,38,87,3.51,PhD,Software Engineering
21744,39,10,1.71,High School,Software Engineering
21745,58,54,3.64,Bachelor,Cybersecurity
21746,38,20,3.51,PhD,Software Engineering
21747,38,87,0.83,Bachelor,Software Engineering
21748,31,42,0.73,High School,AI
21749,18,93,1.02,PhD,Cybersecurity
21750,57,88,1.02,Master,Business Analytics
21751,68,25,3.57,High School,Business Analytics
21752,66,64,3.36,Bachelor,AI
21753,64,78,0.19,Master,Software Engineering
21754,31,33,1.53,High School,Data Science
21755,39,39,2.53,High School,Data Science
21756,29,28,2.83,Master,Data Science
21757,24,79,2.61,PhD,Data Science
21758,49,68,1.72,PhD,Data Science
21759,64,69,0.24,Master,Software Engineering
21760,67,86,3.36,High School,AI
21761,58,6,3.62,Bachelor,AI
21762,62,75,0.69,Master,Business Analytics
21763,45,31,1.58,PhD,Business Analytics
21764,54,31,0.35,Master,Business Analytics
21765,69,81,0.24,Master,Business Analytics
21766,67,48,3.81,PhD,Cybersecurity
21767,42,40,1.47,High School,Software Engineering
21768,62,57,3.55,High School,Data Science
21769,50,92,0.04,High School,Data Science
21770,34,18,0.61,Bachelor,Software Engineering
21771,36,51,0.19,Master,Cybersecurity
21772,62,29,1.44,Master,Cybersecurity
21773,70,58,0.69,PhD,Software Engineering
21774,27,71,2.05,PhD,AI
21775,47,20,0.92,PhD,Business Analytics
21776,60,53,1.64,Master,Software Engineering
21777,38,55,2.42,Master,AI
21778,68,34,2.34,PhD,Data Science
21779,56,44,0.92,PhD,Cybersecurity
21780,47,76,1.89,Bachelor,Cybersecurity
21781,22,90,1.46,PhD,Software Engineering
21782,32,12,2.61,High School,Cybersecurity
21783,26,66,3.77,Bachelor,Cybersecurity
21784,23,13,2.52,Master,Cybersecurity
21785,55,40,3.32,PhD,AI
21786,28,60,1.94,PhD,Data Science
21787,21,65,2.97,Bachelor,AI
21788,61,37,3.53,PhD,Data Science
21789,56,6,0.03,Bachelor,Software Engineering
21790,45,23,0.17,Bachelor,AI
21791,64,26,0.88,High School,Business Analytics
21792,45,19,0.63,Master,Business Analytics
21793,31,12,1.53,Master,Cybersecurity
21794,60,35,0.92,Master,Software Engineering
21795,42,72,3.46,Bachelor,AI
21796,59,22,2.66,High School,Business Analytics
21797,45,45,1.97,Bachelor,Cybersecurity
21798,36,5,0.79,PhD,Cybersecurity
21799,38,12,2.48,High School,Business Analytics
21800,62,62,1.33,Master,Data Science
21801,59,44,2.77,High School,Data Science
21802,49,54,3.09,PhD,Software Engineering
21803,55,10,3.98,PhD,Data Science
21804,26,79,1.33,Bachelor,Cybersecurity
21805,30,52,2.38,Master,Software Engineering
21806,35,21,4.0,PhD,Data Science
21807,46,65,3.51,PhD,AI
21808,33,5,0.9,PhD,AI
21809,24,80,1.27,PhD,Cybersecurity
21810,30,16,3.18,Master,Software Engineering
21811,67,23,1.07,Bachelor,AI
21812,42,77,3.92,Bachelor,Business Analytics
21813,19,96,1.37,Master,Data Science
21814,60,30,2.07,Bachelor,Business Analytics
21815,64,50,2.78,Bachelor,Business Analytics
21816,35,32,3.44,High School,AI
21817,29,44,0.38,Bachelor,Cybersecurity
21818,65,9,0.84,Master,Software Engineering
21819,38,86,3.97,Master,Business Analytics
21820,38,70,3.87,High School,AI
21821,30,21,1.56,Master,Cybersecurity
21822,31,79,3.79,Master,Cybersecurity
21823,19,84,3.57,Master,Business Analytics
21824,66,94,3.63,Master,Software Engineering
21825,24,27,2.78,Master,Data Science
21826,28,62,2.4,Bachelor,Cybersecurity
21827,43,28,1.38,High School,AI
21828,58,93,0.22,High School,Cybersecurity
21829,61,37,3.85,PhD,AI
21830,36,16,3.15,PhD,Cybersecurity
21831,52,53,3.89,High School,Cybersecurity
21832,50,13,2.1,PhD,Data Science
21833,55,63,0.92,High School,Data Science
21834,60,35,1.27,PhD,Software Engineering
21835,62,96,0.82,High School,AI
21836,39,51,3.2,Master,AI
21837,40,98,1.93,Bachelor,Data Science
21838,52,85,2.83,Bachelor,AI
21839,54,23,0.65,PhD,Data Science
21840,59,71,0.52,Bachelor,Business Analytics
21841,25,39,1.14,Bachelor,Software Engineering
21842,53,82,3.12,Master,Cybersecurity
21843,56,19,2.06,High School,Data Science
21844,30,100,0.82,Master,AI
21845,70,26,0.61,Master,Business Analytics
21846,31,47,2.59,Master,Cybersecurity
21847,21,6,3.33,PhD,AI
21848,36,16,3.18,High School,Data Science
21849,53,69,1.52,PhD,Data Science
21850,46,13,2.74,PhD,Business Analytics
21851,35,97,2.66,Bachelor,Business Analytics
21852,55,55,0.89,High School,Software Engineering
21853,65,92,2.71,PhD,Cybersecurity
21854,58,36,2.52,PhD,AI
21855,69,23,3.23,PhD,Software Engineering
21856,48,91,1.75,PhD,Software Engineering
21857,18,87,0.41,High School,Business Analytics
21858,41,8,2.59,High School,Business Analytics
21859,39,15,1.82,PhD,Data Science
21860,62,15,2.63,PhD,AI
21861,19,21,1.94,PhD,Business Analytics
21862,53,70,3.18,Bachelor,Software Engineering
21863,58,80,1.73,Bachelor,Business Analytics
21864,23,10,1.92,Bachelor,Business Analytics
21865,33,57,1.82,PhD,AI
21866,26,98,0.04,PhD,Business Analytics
21867,41,77,1.97,Bachelor,Software Engineering
21868,24,39,0.45,High School,Business Analytics
21869,36,34,3.13,PhD,Business Analytics
21870,21,17,1.98,Master,AI
21871,33,84,3.46,Bachelor,Software Engineering
21872,33,40,0.69,High School,Data Science
21873,37,32,2.17,High School,Cybersecurity
21874,26,90,3.26,Bachelor,Software Engineering
21875,44,49,2.78,PhD,Business Analytics
21876,51,80,0.41,PhD,Business Analytics
21877,39,60,2.91,Bachelor,Software Engineering
21878,45,12,1.01,High School,Cybersecurity
21879,27,51,2.91,High School,AI
21880,34,76,3.31,PhD,AI
21881,27,61,0.38,Bachelor,Business Analytics
21882,19,47,0.78,Bachelor,Cybersecurity
21883,22,61,3.78,High School,Software Engineering
21884,38,31,3.87,High School,Business Analytics
21885,42,85,3.98,Master,Business Analytics
21886,36,87,3.42,PhD,Software Engineering
21887,54,24,3.49,High School,Data Science
21888,53,89,3.56,PhD,Software Engineering
21889,45,50,1.57,High School,Business Analytics
21890,59,62,2.96,Master,AI
21891,63,66,2.77,High School,AI
21892,41,50,0.79,High School,AI
21893,40,78,2.5,PhD,Software Engineering
21894,43,42,3.58,Master,AI
21895,59,65,0.19,High School,Business Analytics
21896,28,79,1.5,Master,AI
21897,70,71,1.69,PhD,AI
21898,18,82,0.43,PhD,Data Science
21899,20,41,2.53,Bachelor,Business Analytics
21900,61,94,2.1,Master,AI
21901,37,44,0.67,Master,AI
21902,26,11,1.0,PhD,Software Engineering
21903,45,47,3.01,Bachelor,Software Engineering
21904,42,47,1.69,Bachelor,Cybersecurity
21905,54,37,2.57,High School,Cybersecurity
21906,41,41,0.58,Master,Data Science
21907,28,36,1.19,Bachelor,Software Engineering
21908,67,40,0.33,PhD,Business Analytics
21909,53,10,3.03,PhD,Software Engineering
21910,53,47,1.73,High School,Cybersecurity
21911,32,74,2.13,Master,AI
21912,59,87,0.47,High School,Data Science
21913,23,6,3.03,Master,AI
21914,62,97,0.32,Bachelor,AI
21915,66,95,1.14,High School,Data Science
21916,25,16,2.52,Bachelor,Software Engineering
21917,51,23,1.25,Master,Cybersecurity
21918,63,62,3.37,Bachelor,Business Analytics
21919,53,86,0.16,PhD,AI
21920,56,86,1.47,High School,Data Science
21921,26,70,3.36,PhD,Software Engineering
21922,39,46,2.57,High School,Software Engineering
21923,65,58,3.71,PhD,AI
21924,67,73,3.75,High School,AI
21925,57,88,3.13,PhD,Software Engineering
21926,35,52,3.43,Master,Data Science
21927,27,17,3.65,Bachelor,AI
21928,39,52,1.62,Bachelor,AI
21929,60,40,2.64,High School,Data Science
21930,38,92,1.75,Master,Cybersecurity
21931,47,46,3.33,Bachelor,Cybersecurity
21932,57,19,1.15,Bachelor,Business Analytics
21933,27,63,0.42,PhD,Business Analytics
21934,48,56,3.21,Master,Data Science
21935,58,71,0.99,High School,AI
21936,21,73,3.33,Bachelor,Software Engineering
21937,35,73,2.41,Bachelor,Software Engineering
21938,42,42,2.55,High School,AI
21939,52,60,1.3,High School,Cybersecurity
21940,65,60,3.69,High School,Cybersecurity
21941,56,41,3.34,PhD,Cybersecurity
21942,63,19,0.9,Bachelor,AI
21943,64,35,3.25,PhD,Software Engineering
21944,58,27,0.34,Master,AI
21945,43,38,1.88,Bachelor,AI
21946,60,85,3.76,Master,Business Analytics
21947,48,56,0.05,High School,Software Engineering
21948,65,99,0.36,Bachelor,AI
21949,65,48,1.87,High School,Data Science
21950,24,81,3.53,Bachelor,Software Engineering
21951,48,22,1.47,Bachelor,Software Engineering
21952,52,60,3.91,Bachelor,Business Analytics
21953,57,62,1.39,PhD,Business Analytics
21954,27,94,0.77,Master,Cybersecurity
21955,30,20,0.52,PhD,Software Engineering
21956,32,39,0.15,Master,Software Engineering
21957,33,77,3.2,High School,Software Engineering
21958,44,48,2.43,PhD,Cybersecurity
21959,39,7,3.33,Bachelor,Cybersecurity
21960,30,10,0.23,PhD,Software Engineering
21961,53,74,3.96,PhD,Cybersecurity
21962,26,90,3.87,High School,AI
21963,18,85,2.88,Bachelor,Software Engineering
21964,50,33,0.34,High School,AI
21965,30,83,3.42,Master,Cybersecurity
21966,27,96,3.18,Master,Cybersecurity
21967,62,41,3.74,Master,Cybersecurity
21968,62,14,0.99,High School,Cybersecurity
21969,69,23,3.67,PhD,AI
21970,18,28,2.02,Bachelor,Data Science
21971,54,59,2.55,PhD,AI
21972,42,100,1.11,Bachelor,AI
21973,29,30,0.13,High School,Software Engineering
21974,38,98,2.03,PhD,Business Analytics
21975,25,87,2.52,High School,AI
21976,68,21,1.37,PhD,AI
21977,45,86,0.39,Bachelor,Cybersecurity
21978,20,91,1.67,High School,Data Science
21979,64,27,1.0,PhD,Data Science
21980,23,42,1.35,Bachelor,Software Engineering
21981,22,30,3.5,Master,Software Engineering
21982,53,64,3.31,Bachelor,Software Engineering
21983,30,7,1.76,Bachelor,Cybersecurity
21984,41,32,1.24,Master,Cybersecurity
21985,35,53,1.19,Bachelor,Software Engineering
21986,18,50,3.3,Master,Data Science
21987,62,15,0.51,Bachelor,Data Science
21988,27,71,3.6,Master,Business Analytics
21989,58,37,1.57,High School,AI
21990,60,57,0.05,High School,Data Science
21991,21,35,0.92,PhD,Cybersecurity
21992,55,96,0.45,Bachelor,Data Science
21993,61,62,2.29,High School,AI
21994,58,29,0.78,PhD,Cybersecurity
21995,63,52,3.58,High School,Cybersecurity
21996,29,9,1.96,High School,Business Analytics
21997,65,72,1.56,Master,AI
21998,36,30,2.85,High School,Cybersecurity
21999,41,94,2.01,Master,Cybersecurity
22000,70,92,1.77,Master,Data Science
22001,53,20,3.78,PhD,AI
22002,60,61,0.35,PhD,Software Engineering
22003,65,15,1.42,PhD,Software Engineering
22004,55,59,0.72,Master,Data Science
22005,59,84,3.97,High School,Data Science
22006,21,90,1.72,Master,Business Analytics
22007,68,62,0.31,Bachelor,Cybersecurity
22008,65,5,1.08,Bachelor,Business Analytics
22009,42,91,3.63,High School,AI
22010,48,65,2.6,Master,Business Analytics
22011,35,9,0.49,Bachelor,Cybersecurity
22012,23,57,3.36,PhD,Data Science
22013,54,84,0.47,High School,AI
22014,63,95,0.09,Bachelor,Business Analytics
22015,31,88,1.76,Bachelor,Data Science
22016,64,57,3.81,High School,Software Engineering
22017,62,73,3.26,Master,Cybersecurity
22018,26,86,0.22,Bachelor,Business Analytics
22019,55,86,1.39,High School,Data Science
22020,35,13,0.88,High School,Cybersecurity
22021,38,72,3.85,PhD,AI
22022,27,10,1.42,High School,Software Engineering
22023,27,89,0.82,Bachelor,Cybersecurity
22024,23,98,0.91,High School,Business Analytics
22025,21,44,3.27,PhD,AI
22026,26,84,1.6,Bachelor,AI
22027,22,51,1.58,PhD,AI
22028,63,65,2.79,PhD,Software Engineering
22029,44,68,3.59,Bachelor,AI
22030,35,50,2.6,PhD,Data Science
22031,63,62,3.48,High School,Software Engineering
22032,43,20,3.78,Master,Business Analytics
22033,44,18,2.21,PhD,AI
22034,65,35,1.22,PhD,AI
22035,49,56,2.51,Bachelor,Cybersecurity
22036,54,75,3.31,PhD,Cybersecurity
22037,36,37,3.92,Master,Business Analytics
22038,48,32,1.77,PhD,Software Engineering
22039,43,50,2.76,High School,AI
22040,48,82,2.48,Bachelor,Business Analytics
22041,23,13,1.94,Bachelor,Software Engineering
22042,63,74,2.0,Bachelor,Data Science
22043,19,90,0.73,Master,Business Analytics
22044,42,25,1.64,High School,Business Analytics
22045,69,53,2.44,PhD,Software Engineering
22046,26,19,0.06,PhD,Software Engineering
22047,48,62,3.15,Bachelor,Data Science
22048,37,36,3.25,PhD,Data Science
22049,50,5,1.93,Master,AI
22050,43,21,1.75,Bachelor,AI
22051,39,64,2.39,PhD,Data Science
22052,32,75,2.21,Bachelor,Software Engineering
22053,36,95,1.5,Bachelor,Data Science
22054,63,56,1.12,Bachelor,Business Analytics
22055,47,26,0.68,Bachelor,AI
22056,64,85,0.75,High School,Data Science
22057,18,5,2.55,High School,Software Engineering
22058,65,83,1.03,PhD,Business Analytics
22059,30,47,3.17,Master,Business Analytics
22060,40,30,1.74,Master,AI
22061,33,50,0.64,High School,Software Engineering
22062,61,85,0.67,Bachelor,Cybersecurity
22063,58,99,0.31,PhD,Software Engineering
22064,43,33,2.3,Bachelor,Business Analytics
22065,35,93,0.74,High School,Software Engineering
22066,21,5,2.25,Master,Data Science
22067,23,33,1.49,Bachelor,Cybersecurity
22068,26,25,2.04,High School,AI
22069,53,50,0.17,High School,AI
22070,64,81,0.39,PhD,Cybersecurity
22071,39,64,2.38,High School,AI
22072,68,51,0.15,High School,Business Analytics
22073,49,100,0.33,High School,AI
22074,65,63,2.62,PhD,Business Analytics
22075,65,23,0.61,Bachelor,Business Analytics
22076,39,47,1.19,PhD,Cybersecurity
22077,59,69,1.04,PhD,Cybersecurity
22078,38,9,2.76,PhD,Software Engineering
22079,35,37,1.87,Master,Data Science
22080,37,27,1.98,High School,Cybersecurity
22081,43,58,1.12,Master,AI
22082,21,53,0.49,Bachelor,AI
22083,50,86,3.98,High School,Software Engineering
22084,27,23,0.15,Bachelor,Business Analytics
22085,49,92,3.93,PhD,Software Engineering
22086,61,73,2.92,Bachelor,Business Analytics
22087,64,13,2.04,PhD,AI
22088,27,22,0.97,High School,Business Analytics
22089,26,43,2.97,High School,Data Science
22090,65,9,2.96,PhD,Data Science
22091,33,42,0.17,Bachelor,Cybersecurity
22092,42,68,3.4,Bachelor,AI
22093,45,62,2.13,Master,AI
22094,37,29,1.98,Master,Data Science
22095,33,13,2.98,PhD,Data Science
22096,34,22,0.9,PhD,Software Engineering
22097,50,6,3.86,PhD,AI
22098,70,48,2.94,Master,Data Science
22099,32,89,0.37,Master,Business Analytics
22100,47,10,1.82,High School,Data Science
22101,53,94,0.42,Bachelor,Business Analytics
22102,51,25,2.32,High School,AI
22103,64,70,1.58,Master,Data Science
22104,58,17,1.38,Bachelor,Business Analytics
22105,39,11,3.42,High School,Business Analytics
22106,22,40,2.34,PhD,Data Science
22107,59,51,0.85,PhD,AI
22108,64,45,3.9,PhD,Data Science
22109,68,34,0.92,Master,Software Engineering
22110,68,39,0.28,Bachelor,Data Science
22111,59,18,3.73,Master,Business Analytics
22112,43,99,2.76,High School,Software Engineering
22113,28,80,1.05,Bachelor,AI
22114,62,24,3.76,Bachelor,AI
22115,65,43,2.07,Bachelor,Business Analytics
22116,46,44,2.66,Master,Software Engineering
22117,62,49,2.23,PhD,Software Engineering
22118,25,35,2.52,Master,AI
22119,63,76,3.42,PhD,AI
22120,58,61,3.94,High School,Business Analytics
22121,53,73,1.57,Master,Business Analytics
22122,51,50,3.79,High School,Cybersecurity
22123,67,31,0.71,Bachelor,Data Science
22124,59,25,1.33,Bachelor,Business Analytics
22125,69,60,0.47,Master,Data Science
22126,44,46,0.26,Bachelor,Business Analytics
22127,34,26,1.6,High School,Cybersecurity
22128,69,18,2.28,Master,Software Engineering
22129,34,71,3.95,Bachelor,AI
22130,67,50,2.1,Master,Cybersecurity
22131,64,93,2.55,High School,Business Analytics
22132,39,41,3.31,High School,Software Engineering
22133,36,96,1.09,Master,Software Engineering
22134,21,7,4.0,Master,AI
22135,47,86,3.2,Master,Software Engineering
22136,38,29,0.72,Master,Data Science
22137,57,24,2.33,Master,Cybersecurity
22138,69,81,1.84,PhD,AI
22139,26,76,3.04,High School,AI
22140,31,37,0.55,Bachelor,Software Engineering
22141,41,54,0.52,Master,Cybersecurity
22142,63,97,1.98,Master,AI
22143,43,55,2.87,PhD,Software Engineering
22144,18,36,3.83,PhD,Software Engineering
22145,25,17,1.7,Master,Data Science
22146,28,13,1.66,PhD,AI
22147,61,61,1.73,High School,AI
22148,58,43,0.23,Bachelor,Business Analytics
22149,30,60,2.71,PhD,Cybersecurity
22150,43,22,1.57,High School,Business Analytics
22151,57,48,2.77,Bachelor,Cybersecurity
22152,25,10,0.83,Master,Business Analytics
22153,35,50,0.83,PhD,Cybersecurity
22154,58,77,1.92,Bachelor,Data Science
22155,25,64,1.24,Master,Cybersecurity
22156,23,49,3.84,Bachelor,Business Analytics
22157,25,22,2.78,Bachelor,Data Science
22158,69,69,2.14,PhD,AI
22159,69,37,0.82,High School,Business Analytics
22160,19,95,1.06,PhD,Business Analytics
22161,64,77,2.46,High School,Business Analytics
22162,50,73,3.81,PhD,Data Science
22163,45,66,3.06,Bachelor,Software Engineering
22164,65,39,3.88,Master,Business Analytics
22165,50,92,1.0,PhD,AI
22166,67,94,1.85,Bachelor,Data Science
22167,46,97,3.49,Bachelor,Business Analytics
22168,56,47,0.07,High School,AI
22169,70,46,0.74,Master,Cybersecurity
22170,69,40,0.63,Bachelor,Data Science
22171,68,91,1.36,PhD,AI
22172,30,40,1.84,High School,Data Science
22173,36,5,0.0,Bachelor,Business Analytics
22174,67,70,0.01,Master,Software Engineering
22175,37,20,2.14,Bachelor,Data Science
22176,40,29,3.44,High School,Cybersecurity
22177,47,66,3.46,Bachelor,Data Science
22178,30,34,2.3,PhD,Business Analytics
22179,38,98,3.46,Bachelor,Software Engineering
22180,32,17,0.08,High School,Software Engineering
22181,65,45,0.25,Bachelor,Software Engineering
22182,48,7,2.81,High School,AI
22183,31,12,0.63,Master,Software Engineering
22184,47,77,2.83,High School,Cybersecurity
22185,43,35,2.9,Bachelor,Data Science
22186,23,69,0.08,High School,Data Science
22187,48,91,2.99,Master,AI
22188,40,22,0.94,Bachelor,Business Analytics
22189,18,96,2.79,Bachelor,AI
22190,26,99,1.03,Bachelor,Business Analytics
22191,48,12,0.32,PhD,Business Analytics
22192,31,19,1.14,Bachelor,Cybersecurity
22193,52,37,2.44,High School,Business Analytics
22194,27,80,0.76,PhD,Software Engineering
22195,67,79,1.79,Master,Business Analytics
22196,32,49,1.38,PhD,Software Engineering
22197,66,80,1.19,High School,Data Science
22198,58,67,1.65,Bachelor,AI
22199,70,16,3.15,Bachelor,AI
22200,38,20,3.74,Master,Business Analytics
22201,51,40,0.53,PhD,Business Analytics
22202,53,52,1.77,High School,AI
22203,26,62,3.04,PhD,Business Analytics
22204,67,57,1.05,High School,Cybersecurity
22205,49,75,2.08,High School,Data Science
22206,69,91,0.46,High School,Business Analytics
22207,46,11,0.34,High School,Data Science
22208,19,90,2.16,High School,Cybersecurity
22209,28,100,3.21,Bachelor,Business Analytics
22210,48,43,0.29,PhD,Business Analytics
22211,27,28,0.67,Master,Software Engineering
22212,32,26,0.57,Bachelor,AI
22213,55,86,1.84,High School,AI
22214,63,28,1.54,Bachelor,AI
22215,33,30,1.07,Bachelor,Cybersecurity
22216,34,95,0.9,PhD,Software Engineering
22217,70,22,0.78,Bachelor,Cybersecurity
22218,21,7,1.54,Bachelor,Business Analytics
22219,35,29,3.1,PhD,Software Engineering
22220,34,22,0.73,Bachelor,Data Science
22221,64,59,0.63,High School,Cybersecurity
22222,39,24,0.67,PhD,Data Science
22223,51,70,3.42,PhD,AI
22224,36,34,2.75,Master,Software Engineering
22225,61,79,0.79,PhD,Business Analytics
22226,48,11,0.8,Master,AI
22227,35,42,1.72,Master,Cybersecurity
22228,39,77,2.8,Bachelor,Cybersecurity
22229,65,66,2.34,High School,Business Analytics
22230,57,97,1.18,Master,Cybersecurity
22231,24,93,0.61,High School,AI
22232,48,47,1.92,High School,Business Analytics
22233,52,24,1.7,High School,Cybersecurity
22234,21,16,2.55,PhD,Software Engineering
22235,69,49,0.9,High School,Data Science
22236,59,60,1.42,Bachelor,Software Engineering
22237,67,82,1.78,Bachelor,Business Analytics
22238,19,64,3.82,Bachelor,Data Science
22239,67,90,2.4,Bachelor,Cybersecurity
22240,22,87,3.83,Bachelor,AI
22241,32,34,2.19,High School,Cybersecurity
22242,45,30,3.15,Master,Business Analytics
22243,53,34,1.14,Bachelor,Data Science
22244,41,66,3.35,High School,Business Analytics
22245,24,68,1.89,Bachelor,Data Science
22246,31,33,1.89,PhD,Business Analytics
22247,60,88,2.9,Master,Data Science
22248,41,33,0.11,Master,Software Engineering
22249,58,65,1.67,Bachelor,Business Analytics
22250,18,12,2.84,PhD,Software Engineering
22251,34,62,1.1,Bachelor,Business Analytics
22252,27,76,2.9,Bachelor,Data Science
22253,54,82,1.89,Master,Data Science
22254,40,49,1.27,Master,AI
22255,67,45,2.19,PhD,Business Analytics
22256,68,8,3.13,High School,Cybersecurity
22257,20,56,1.87,Bachelor,Data Science
22258,63,38,2.42,Bachelor,Business Analytics
22259,26,29,0.35,Bachelor,AI
22260,39,81,0.21,PhD,Business Analytics
22261,64,42,3.3,Master,AI
22262,57,38,3.53,Bachelor,Data Science
22263,49,39,3.62,PhD,Business Analytics
22264,67,99,1.94,PhD,Business Analytics
22265,27,58,2.04,PhD,Software Engineering
22266,36,46,3.68,Bachelor,AI
22267,61,42,0.14,High School,Cybersecurity
22268,25,39,1.93,PhD,AI
22269,33,84,0.79,Master,Data Science
22270,58,80,2.92,Bachelor,Data Science
22271,30,34,1.63,Bachelor,Business Analytics
22272,45,67,1.87,High School,Cybersecurity
22273,30,98,2.93,PhD,Business Analytics
22274,31,27,2.84,Master,Data Science
22275,34,78,3.79,Master,AI
22276,63,100,2.18,Master,Business Analytics
22277,65,97,1.6,Bachelor,Business Analytics
22278,22,30,2.48,PhD,Cybersecurity
22279,37,36,1.03,High School,Data Science
22280,42,61,0.29,High School,AI
22281,45,43,1.29,PhD,Software Engineering
22282,40,23,2.53,High School,AI
22283,32,31,1.17,Bachelor,Cybersecurity
22284,55,43,3.55,Master,Data Science
22285,54,41,1.03,High School,AI
22286,37,8,0.43,PhD,Cybersecurity
22287,47,52,0.55,High School,AI
22288,32,44,2.31,Master,AI
22289,67,19,1.26,Bachelor,Cybersecurity
22290,36,44,0.2,Master,AI
22291,19,97,2.16,PhD,Software Engineering
22292,36,8,2.67,High School,Data Science
22293,62,89,2.6,PhD,Data Science
22294,53,89,1.98,PhD,Data Science
22295,59,98,3.37,PhD,Business Analytics
22296,38,15,2.26,Bachelor,Business Analytics
22297,53,60,0.76,PhD,Software Engineering
22298,22,19,2.5,Bachelor,Business Analytics
22299,66,75,2.08,High School,Data Science
